case_number,case_type,case_status,district,main_address,parcel,assigned_to,"Opened
Date","Closed
Date"
GRA-001190-2019,Grass and Weeds,Closed,"Council District
1","8833 Applegate Ln, Sandy
Springs, GA 30350",06 036500030383,"Marcellus
Hampton",07/01/2019,07/08/2019
GRA-001190-2020,Grass and Weeds,Closed,"Council District
1","520 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040407,"Marcellus
Hampton",06/04/2020,06/22/2020
GRA-001191-2019,Grass and Weeds,Closed,"Council District
1","8834 Applegate Ln, Sandy
Springs, GA 30350",06 036500030235,"Marcellus
Hampton",07/01/2019,12/18/2020
GRA-001191-2020,Grass and Weeds,Closed,"Council District
1","522 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040399,"Marcellus
Hampton",06/04/2020,06/09/2020
GRA-001192-2020,Grass and Weeds,Closed,"Council District
1","530 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040365,"Marcellus
Hampton",06/04/2020,06/09/2020
GRA-001195-2020,Grass and Weeds,Closed,"Council District
1","534 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040340,"Marcellus
Hampton",06/04/2020,06/09/2020
GRA-001237-2017,Grass and Weeds,Closed,"Council District
1","8889 Roberts Dr, Sandy
Springs, GA 30350",06 036500010161,Michael Franklin,08/02/2017,10/04/2017
GRA-001238-2017,Grass and Weeds,Closed,"Council District
1","8885 Roberts Dr, Sandy
Springs, GA 30350",NA,Michael Franklin,08/02/2017,10/04/2017
GRA-001276-2020,Grass and Weeds,Closed,"Council District
1","509 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040274,"Marcellus
Hampton",06/09/2020,06/17/2020
GRA-001285-2017,Grass and Weeds,Closed,"Council District
1","5055 Spalding Dr, Sandy
Springs, GA 30350",06 031200010157,Paula Allen,08/09/2017,02/12/2020
GRA-001286-2020,Grass and Weeds,Closed,Council District,"485 Granite Ridge Pl, Sandy",17 002500040217,Marcellus Hampton,06/09/2020,06/18/2020
GRA-001288-2020,Grass and Weeds,Closed,Council District 1,"487 Granite Ridge Pl, Sandy Springs, GA 30350",17 002500040225,Marcellus Hampton,06/09/2020,06/18/2020
GRA-001289-2020,Grass and Weeds,Closed,"Council District
1","489 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040233,"Marcellus
Hampton",06/09/2020,06/22/2020
GRA-001290-2020,Grass and Weeds,Closed,"Council District
1","491 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040241,"Marcellus
Hampton",06/09/2020,06/22/2020
GRA-001314-2020,Grass and Weeds,Closed,"Council District
1","526 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040373,"Marcellus
Hampton",06/12/2020,06/22/2020
GRA-001333-2017,Grass and Weeds,Closed,"Council District
1","0 Northridge Rd, Sandy
Springs, GA 30350",06 0360  LL0010,Michael Franklin,08/21/2017,10/04/2017
GRA-001338-2017,Grass and Weeds,Closed,"Council District
1","105 Nesbit Ferry Pl, Sandy
Springs, GA 30350",06 031200030395,Michael Franklin,08/21/2017,12/04/2017
GRA-001339-2017,Grass and Weeds,Closed,"Council District
1","7650 Nesbit Ferry Rd,
Sandy Springs, GA 30350",06 031200010181,Michael Franklin,08/21/2017,10/04/2017
GRA-001340-2019,Grass and Weeds,Closed,"Council District
1","550 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020011,"Marcellus
Hampton",07/25/2019,08/01/2019
GRA-001342-2019,Grass and Weeds,Closed,"Council District
1","546 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040761,"Marcellus
Hampton",07/25/2019,08/01/2019
GRA-001343-2019,Grass and Weeds,Closed,"Council District
1","566 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020086,"Marcellus
Hampton",07/25/2019,04/14/2020
GRA-001353-2019,Grass and Weeds,Closed,"Council District
1","560 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020052,"Marcellus
Hampton",07/26/2019,08/01/2019
GRA-001354-2019,Grass and Weeds,Closed,"Council District
1","562 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020060,"Marcellus
Hampton",07/26/2019,10/01/2019
GRA-001355-2019,Grass and Weeds,Closed,"Council District
1","564 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020060,"Marcellus
Hampton",07/26/2019,10/01/2019
GRA-001360-2017,Grass and Weeds,Closed,"Council District
1","1620 Saddle Ridge Way,
Sandy Springs, GA 30350",06 035600050184,Michael Franklin,08/24/2017,10/04/2017
GRA-001373-2020,Grass and Weeds,Closed,"Council District
1","545 Tahoma Dr, Sandy
Springs, GA 30350",17 002400020590,"Marcellus
Hampton",06/17/2020,06/26/2020
GRA-001395-2020,Grass and Weeds,Closed,"Council District
1","557 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020268,"Marcellus
Hampton",06/18/2020,06/30/2020
GRA-001396-2020,Grass and Weeds,Closed,"Council District
1","559 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500020276,"Marcellus
Hampton",06/18/2020,06/30/2020
GRA-001397-2020,Grass and Weeds,Closed,"Council District
1","8890 Long Beach Cir,
Sandy Springs, GA 30350",NA,"Marcellus
Hampton",06/19/2020,06/30/2020
GRA-001398-2020,Grass and Weeds,Closed,"Council District
1","8890 Long Beach Cir,
Sandy Springs, GA 30350",06 036500020392,"Marcellus
Hampton",06/19/2020,06/19/2020
GRA-001419-2017,Grass and Weeds,"Voluntary
Compliance","Council District
1","9150 Carroll Manor Dr,
Sandy Springs, GA 30350",06 036700031777,Michael Franklin,09/11/2017,09/14/2017
GRA-001420-2017,Grass and Weeds,Closed,"Council District
1","8845 River Pkwy UNIT 4,
Sandy Springs, GA 30350",06 036700050033,Michael Franklin,09/11/2017,11/06/2017
GRA-001445-2020,Grass and Weeds,Closed,"Council District
1","8845 N River Pkwy UNIT 1,
Sandy Springs, GA 30350",06 036700050025,"Marcellus
Hampton",06/24/2020,06/30/2020
GRA-001449-2020,Grass and Weeds,Closed,Council District,"2495 Spalding Dr, Sandy",06 0358  LL0824,Marcellus Hampton,06/25/2020,07/10/2020
GRA-001455-2019,Grass and Weeds,Closed,"Council District
1","8821 Long Beach Cir,
Sandy Springs, GA 30350",06 036500040267,"Marcellus
Hampton",08/10/2019,03/06/2020
GRA-001456-2020,Grass and Weeds,Closed,"Council District
1","315 Amador Cir, Sandy
Springs, GA 30350",17 002400020657,"Marcellus
Hampton",06/26/2020,07/08/2020
GRA-001472-2019,Grass and Weeds,Closed,"Council District
1","7560 Winters Chapel Rd,
Sandy Springs, GA 30350",06 031200010066,"Marcellus
Hampton",08/13/2019,09/09/2019
GRA-001479-2020,Grass and Weeds,Closed,"Council District
1","539 Northridge Crossing Dr,
Sandy Springs, GA 30350",NA,"Marcellus
Hampton",06/30/2020,07/08/2020
GRA-001480-2020,Grass and Weeds,Closed,"Council District
1","541 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040605,"Marcellus
Hampton",06/30/2020,07/31/2020
GRA-001481-2020,Grass and Weeds,Closed,"Council District
1","579 Northridge Crossing Dr,
Sandy Springs, GA 30350",NA,"Marcellus
Hampton",06/30/2020,07/08/2020
GRA-001482-2020,Grass and Weeds,Closed,"Council District
1","581 Northridge Crossing Dr,
Sandy Springs, GA 30350",NA,"Marcellus
Hampton",06/30/2020,08/05/2020
GRA-001483-2020,Grass and Weeds,Closed,"Council District
1","590 Northridge Crossing Dr,
, GA 30350",NA,"Marcellus
Hampton",06/30/2020,07/23/2020
GRA-001491-2019,Grass and Weeds,Closed,"Council District
1","7820 Holcomb Bridge Rd,
Sandy Springs, GA 30092",06 0313  LL0133,"Marcellus
Hampton",08/15/2019,02/28/2020
GRA-001493-2017,Grass and Weeds,Closed,"Council District
1",NA,NA,Michael Franklin,09/29/2017,11/06/2017
GRA-001494-2020,Grass and Weeds,Closed,"Council District
1","7613 Regency Cir, Sandy
Springs, GA 30350",06 0310  LL0763,"Marcellus
Hampton",06/30/2020,06/30/2020
GRA-001495-2020,Grass and Weeds,Closed,"Council District
1",NA,NA,"Marcellus
Hampton",06/30/2020,06/30/2020
GRA-001497-2019,Grass and Weeds,Closed,"Council District
1","8812 Long Beach Cir,
Sandy Springs, GA 30350",06 036500030045,"Marcellus
Hampton",08/19/2019,08/26/2019
GRA-001499-2019,Grass and Weeds,Closed,"Council District
1","8889 Roberts Dr, Sandy
Springs, GA 30350",06 036500010161,"Marcellus
Hampton",08/19/2019,08/26/2019
GRA-001513-2019,Grass and Weeds,Closed,"Council District
1","8889 Roberts Dr, Sandy
Springs, GA 30350",06 036500010161,"Marcellus
Hampton",08/21/2019,08/26/2019
GRA-001517-2019,Grass and Weeds,Closed,"Council District
1","510 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040647,"Marcellus
Hampton",08/21/2019,08/26/2019
GRA-001528-2017,Grass and Weeds,Closed,"Council District
1","7925 Saddle Ridge Dr,
Sandy Springs, GA 30350",06 035300030270,Michael Franklin,10/10/2017,12/04/2017
GRA-001586-2019,Grass and Weeds,Closed,"Council District
1","525 Valley Hall Dr, Sandy
Springs, GA 30350",06 035100020083,"Marcellus
Hampton",09/04/2019,10/11/2019
GRA-001624-2019,Grass and Weeds,Closed,"Council District
1","479 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040704,"Marcellus
Hampton",09/12/2019,09/20/2019
GRA-001625-2019,Grass and Weeds,Closed,"Council District
1","541 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040605,"Marcellus
Hampton",09/12/2019,09/23/2019
GRA-001625-2020,Grass and Weeds,Closed,"Council District
1","1135 Hightower Trl, Sandy
Springs, GA 30350",17 002600010326,"Marcellus
Hampton",07/07/2020,07/23/2020
GRA-001629-2020,Grass and Weeds,Closed,"Council District
1","465 Granite Ridge Pl, Sandy
Springs, GA 30350",17 002500040134,"Marcellus
Hampton",07/07/2020,07/14/2020
GRA-001634-2019,Grass and Weeds,Closed,Council District,"8861 Roberts Dr, Sandy",06 036500010013,Marcellus Hampton,09/16/2019,03/10/2020
GRA-001663-2019,Grass and Weeds,Closed,Council District 1,"300 Nesbit Lake Ct, Sandy Springs, GA 30350",06 031200030239,Marcellus Hampton,09/19/2019,04/03/2020
GRA-001710-2019,Grass and Weeds,Closed,"Council District
1","546 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040126,"Marcellus
Hampton",10/01/2019,10/07/2019
GRA-001752-2019,Grass and Weeds,"Induced
Compliance","Council District
1","7800 Mount Vernon Rd,
Sandy Springs, GA 30350",06 0337  LL0358,"Marcellus
Hampton",10/10/2019,11/04/2019
GRA-001807-2019,Grass and Weeds,"Induced
Compliance","Council District
1","7800 Mount Vernon Rd,
Sandy Springs, GA 30350",06 0337  LL0358,"Marcellus
Hampton",10/23/2019,11/04/2019
GRA-002032-2020,Grass and Weeds,Closed,"Council District
1","469 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040746,"Marcellus
Hampton",07/31/2020,08/13/2020
GRA-002042-2020,Grass and Weeds,Closed,"Council District
1","522 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040027,"Marcellus
Hampton",08/03/2020,12/07/2020
GRA-002045-2020,Grass and Weeds,Closed,"Council District
1",NA,NA,"Marcellus
Hampton",08/03/2020,08/20/2020
GRA-002089-2020,Grass and Weeds,Closed,"Council District
1","637 Corbin Lake Ct, Sandy
Springs, GA 30350",06 036300050383,"Marcellus
Hampton",08/11/2020,08/25/2020
GRA-002134-2020,Grass and Weeds,Closed,"Council District
1","8800 Long Beach Cir,
Sandy Springs, GA 30350",06 036500030102,"Marcellus
Hampton",08/19/2020,09/16/2020
GRA-002193-2018,Grass and Weeds,"Induced
Compliance","Council District
1","559 Northridge Crossing Dr,
Sandy Springs, GA 30350",NA,Paula Allen,04/03/2018,08/17/2018
GRA-002208-2018,Grass and Weeds,"Voluntary
Compliance","Council District
1","6010 Spalding Dr, Sandy
Springs, GA 30350",06 031200040022,Paula Allen,04/04/2018,08/17/2018
GRA-002268-2018,Grass and Weeds,"Voluntary
Compliance","Council District
1","795 Spalding Dr, Sandy
Springs, GA 30328",NA,Paula Allen,04/11/2018,08/17/2018
GRA-002280-2018,Grass and Weeds,"Voluntary
Compliance","Council District
1","8851 Long Beach Cir,
Sandy Springs, GA 30350",NA,Paula Allen,04/13/2018,08/17/2018
GRA-002282-2018,Grass and Weeds,"Voluntary
Compliance","Council District
1","8821 Applegate Ln, Sandy
Springs, GA 30350",NA,Paula Allen,04/13/2018,08/17/2018
GRA-002283-2018,Grass and Weeds,"Voluntary
Compliance","Council District
1","8817 Applegate Ln, Sandy
Springs, GA 30350",NA,Paula Allen,04/13/2018,08/17/2018
GRA-002284-2018,Grass and Weeds,"Voluntary
Compliance","Council District
1","8815 Applegate Ln, Sandy
Springs, GA 30350",NA,Paula Allen,04/13/2018,08/17/2018
GRA-002292-2018,Grass and Weeds,"Voluntary
Compliance","Council District
1","590 Northridge Crossing Dr,
Sandy Springs, GA 30350",NA,Paula Allen,04/16/2018,08/17/2018
GRA-002293-2018,Grass and Weeds,"Voluntary
Compliance","Council District
1","546 Northridge Crossing Dr,
Sandy Springs, GA 30350",NA,Paula Allen,04/16/2018,08/17/2018
GRA-002294-2018,Grass and Weeds,Closed,"Council District
1","487 Granite Ridge Pl, Sandy
Springs, GA 30350",NA,Paula Allen,04/16/2018,08/17/2018
GRA-002295-2018,Grass and Weeds,"Voluntary
Compliance","Council District
1","485 Granite Ridge Pl, Sandy
Springs, GA 30350",NA,Paula Allen,04/16/2018,08/17/2018
GRA-002310-2018,Grass and Weeds,"Voluntary
Compliance","Council District
1","775 Spalding Dr, Sandy
Springs, GA 30328",NA,Paula Allen,04/18/2018,08/17/2018
GRA-002330-2020,Grass and Weeds,Closed,"Council District
1","8175 Innsbruck Dr, Sandy
Springs, GA 30350",06 035600020138,"Marcellus
Hampton",09/03/2020,09/11/2020
GRA-002397-2020,Grass and Weeds,Closed,"Council District
1","537 Northridge Crossing Dr,
Sandy Springs, GA 30350",17 002500040589,"Marcellus
Hampton",09/14/2020,10/27/2020
GRA-002399-2018,Grass and Weeds,Closed,"Council District
1","5015 Spalding Dr, Sandy
Springs, GA 30350",06 031200010116,Paula Allen,05/04/2018,05/09/2018
