"AOSNUMBER","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS0226","Chicago","Cook County","IL","U.S. Customs and Border Protection - Chicago O'Hare International Airport","DHS","The Chicago O'Hare International Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0227","Seattle","King County","WA","U.S. Customs and Border Protection - Sea-Tac Airport","DHS","The Sea-Tac Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0228","Las Vegas","Clark County","NV","U.S. Customs and Border Protection - McCarran International Airport","DHS","The McCarran International Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0229","Dulles","Loudoun County","VA","U.S. Customs and Border Protection - Dulles International Airport","DHS","The Dulles International Airport  is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0230","Arlington","Arlington County","VA","U.S. Customs and Border Protection - Reagan National Airport","DHS","The Reagan National Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0231","Boston","Suffolk County","MA","U.S. Customs and Border Protection - Boston Logan International Airport","DHS","The Boston Logan International Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0232","Fort Lauderdale","Broward County","FL","U.S. Customs and Border Protection - Fort Lauderdale-Hollywood International Airport","DHS","The Fort Lauderdale-Hollywood International Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0233","Houston","‎Harris County‎","TX","U.S. Customs and Border Protection - George Bush Intercontinental/Houston Airport","DHS","The George Bush Intercontinental/Houston Airport  is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0234","DFW Airport","Dallas County","TX","U.S. Customs and Border Protection - Dallas-Fort Worth International Airport","DHS","The Dallas-Fort Worth International Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0235","Queens","Queens County","NY","U.S. Customs and Border Protection - John F. Kennedy International Airport","DHS","The John F. Kennedy International Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0236","Miami","Miami-Dade County","FL","U.S. Customs and Border Protection - Miami International Airport","DHS","The Miami International Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0237","San Jose","Santa Clara County","CA","U.S. Customs and Border Protection - San Jose International Airport","DHS","The San Jose International Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0238","Los Angeles","Los Angeles County","CA","U.S. Customs and Border Protection - Los Angeles International Airport","DHS","The Los Angeles International Airport  is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0239","Orlando","Orange County","FL","U.S. Customs and Border Protection - Orlando International Airport","DHS","The Orlando International Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0240","Detroit","Wayne County","MI","U.S. Customs and Border Protection - Detroit Metro Airport","DHS","The Detroit Metro Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0241","San Francisco","San Francisco County","CA","U.S. Customs and Border Protection - San Francisco International Airport","DHS","The San Francisco International Airport is one of 18 airports where Customs and Border Protection is using face recognition technology as of March 2019. An executive order signed by Pres. Trump in 2019 requires Customs and Border Protection to install face recognition technology at the United States' top 20 airports by 2021.","Federal","Face Recognition","","https://www.buzzfeednews.com/article/daveyalba/these-documents-reveal-the-governments-detailed-plan-for","","Buzzfeed","","3/11/2019","https://techcrunch.com/2020/03/12/homeland-security-airport-face-recognition/","","TechCrunch","","3/12/2020","","","","","",""
"AOS0968","Redwood","San Mateo County","CA","San Mateo County Sheriff's Office","Sheriff","The San Mateo County Sheriff’s Office has run about 2,000 searches with Clearview AI face recognition technology, according to records obtained by Buzzfeed. ","County","Face Recognition","Clearview AI","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","","","","","","","","","","",""
"AOS0969","New Caney","Montgomery County","TX","Montgomery County Constables Precinct 4","Constables","The Montgomery County Constables Precinct 4 purchased Clearview AI face recognition licenses in 2019. ","County","Face Recognition","Clearview AI","https://montgomerycountytx.opengov.com/data/#/9803/query=FEE452527E14CEE8CE7D2D89E25C36C4&embed=n","","Montgomery County","","2/11/2020","","","","","","","","","","",""
"AOS0970","DeLand","Volusia County","FL","Volusia County Sheriff's Office","Sheriff","In January 2020, the Volusia County Sheriff's Office completed a free 90-day trial of Clearview AI face recognition technology then paid $10,000 for six one-year licenses to continue using the system.","County","Face Recognition","Clearview AI","https://www.news-journalonline.com/news/20200203/volusia-sheriffrsquos-office-adds-facial-recognition-technology","","Daytona Beach News-Journal","","02/03/2020","https://www.tampabay.com/florida-politics/buzz/2020/02/11/florida-cops-use-this-facial-recognition-tech-that-could-be-pulling-your-pics/","","Tampa Bay Times","","2/11/2020","","","","","",""
"AOS0971","Gainesville","Alachua County","FL","Gainesville Police Department","Police","The Gainesville Police Department spent $10,000 on Clearview AI face recognition technology for seven users in 2019. ","Municipal","Face Recognition","Clearview AI","http://spending.cityofgainesville.org/#!/year/2019/explore/0/vendor/Clearview+Ai+Inc/0/fund","","City of Gainesville","","2019","https://www.muckrock.com/foi/gainesville-10471/gainesville-florida-83312/","","Muckrock","","12/11/2019","https://www.muckrock.com/news/archives/2020/jan/18/clearview-ai-facial-recogniton-records/","","Muckrock","","01/18/2020",""
"AOS0972","Antioch","Contra Costa County","CA","Antioch Police Department","Police","The Antioch Police Department spent $3,000 on Clearview AI face recognition technology in late 2019. ","Municipal","Face Recognition","Clearview AI","https://www.antiochca.gov/fc/government/agendas/CityCouncil/2020/agendas/011420/011420.pdf","","City of Antioch","","1/14/2020","","","","","","","","","","",""
"AOS0973","Green Bay","Brown County","WI","Green Bay Police Department","Police","In November 2019, the Green Bay Police Department spent $3,000 on Clearview AI face recognition technology. ","Municipal","Face Recognition","Clearview AI","https://greenbaywi.gov/ArchiveCenter/ViewFile/Item/237","","City of Greenbay","","12/06/2019","","","","","","","","","","",""
"AOS0974","Davie","Broward County","FL","Davie Police Department","Police","The Davie Police Department uses Clearview AI face recognition software as of 2020. ","Municipal","Face Recognition","Clearview AI","https://www.davie-fl.gov/DocumentCenter/View/10517/NTSS-2020-34-Facial-Recognition-Software?bidId=","","Town of Davie","","12/23/2019","https://www.davie-fl.gov/bids.aspx?bidID=504","","Town of Davie","","12/23/2019","https://www.tampabay.com/florida-politics/buzz/2020/02/11/florida-cops-use-this-facial-recognition-tech-that-could-be-pulling-your-pics/","","Tampa Bay Times","","2/11/2020",""
"AOS0975","Miami","Miami-Dade County","FL","Miami Police Department","Police","According to documents obtained by Buzzfeed News, the Miami Police Department has run over 3,000 face recognition searches using Clearview AI. ","Municipal","Face Recognition","Clearview AI","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","https://cdn.muckrock.com/foia_files/2020/11/10/facialrecogDOs.pdf","","Miami Police Department","","10/06/2020","","","","","",""
"AOS0976","Atlanta","DeKalb County, Fulton County","GA","Atlanta Police Department","Police","In 2019, the Atlanta Police Department paid $6,000 for three one-year licenses of face recognition technology from Clearview AI. ","Municipal","Face Recognition","Clearview AI","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","https://www.muckrock.com/news/archives/2020/jan/18/clearview-ai-facial-recogniton-records/","","Muckrock","","01/18/2020","https://www.muckrock.com/foi/atlanta-325/facial-recognition-atlanta-ga-76491/#file-824465","","MuckRock","","",""
"AOS0977","Wyomissing","Berks County","PA","Wyomissing Police Department","Police","The Wyomissing Police Department paid $1,000 for a Clearview AI license. ","Municipal","Face Recognition","Clearview AI","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","","","","","","","","","","",""
"AOS0978","Chicago","Cook County","IL","Chicago Police Department","Police","The Chicago Police Department has used DataWorks face recognition technology since 2013. ","Municipal","Face Recognition","DataWorks Plus","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","https://chicago.suntimes.com/crime/2020/1/29/21080729/clearview-ai-facial-recognition-chicago-police-cpd","","Chicago Sun Times","","01/29/2020","","","","","",""
"AOS0979","Senoia","Coweta County","GA","Senoia Police Department","Police","The Senoia Police Department converted to a paid license for Clearview AI after trying the technology via a free trial. ","Municipal","Face Recognition","Clearview AI","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","","","","","","","","","","",""
"AOS0980","Indianapolis","Marion County","IN","Indiana State Police","Police","According to a list of Clearview AI clients obtained by Buzzfeed News, the Indiana State Police has run more than 5,700 scans with the face recognition technology. It was Clearview AI's first paying customer. ","State","Face Recognition","Clearview AI","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","","","","","","","","","","",""
"AOS0981","Albany","Albany County","NY","New York State Police","Police","The New York State Police paid $15,000 for Clearview AI face recognition licenses.","State","Face Recognition","Clearview AI","https://www.buzzfeednews.com/article/ryanmac/clearview-ai-fbi-ice-global-law-enforcement","","Buzzfeed News","","02/27/2020","https://www.syracuse.com/crime/2020/02/new-york-state-police-uses-controversial-facial-recognition-technology-that-just-had-its-data-breached.html","","","","","","","","","",""
"AOS0982","Austin","Travis County","TX","Texas Department of Public Safety","State Police","In 2019, the Texas Department of Public Safety spent $24,000 for a 12 month subscription with Clearview AI face recognition technology.  ","State","Face Recognition","Clearview AI","https://www.muckrock.com/foi/austin-139/facial-recognition-systems-clearview-ai-84829/","","Muckrock","","1/23/2020","","","","","","","","","","",""
"AOS2290","Durham","Wake County, Orange County, Durham County","NC","Durham Police Department","Police","In 2017, the Durham Police Department bought six mobile face recognition systems for $38,400.","Municipal","Face Recognition","DataWorks Plus","https://www.muckrock.com/foi/durham-4165/facial-recognition-software-and-marketing-february-2019-durham-police-department-69566/#file-839119","","MuckRock","","01/20/2020","","","","","","","","","","",""
"AOS2429","Honolulu","Honolulu County","HI","Honolulu Police Department","Police","The Honolulu Police Department and the Hawaii Criminal Justice Data Center began using face recognition technology in 2014, and expanded its use through all Hawaiian counties in 2015.","County","Face Recognition","Idemia","https://finance.yahoo.com/news/honolulu-pd-facial-recognition-system-144000973.html","","Yahoo Finance","","01/28/2015","https://www.perpetuallineup.org/jurisdiction/hawaii","","Georgetown University","","2016","http://www.honolulupd.org/information/pdfs/FacialRecognitionProgram-02-04-2016-12-19-14.pdf","","Honolulu Police","","9/14/2015",""
"AOS2430","Hilo","Hawaii County","HI","Hawaii County Police Department","Police","The Honolulu Police Department and the Hawaii Criminal Justice Data Center began using face recognition technology in 2014, and expanded its use through all Hawaiian counties in 2015.","County","Face Recognition","Idemia","https://finance.yahoo.com/news/honolulu-pd-facial-recognition-system-144000973.html","","Yahoo Finance","","01/29/2015","https://www.perpetuallineup.org/jurisdiction/hawaii","","Georgetown University","","2016","","","","","",""
"AOS2431","Līhu‘e","Kauai County","HI","Kauai County Police Department","Police","The Honolulu Police Department and the Hawaii Criminal Justice Data Center began using face recognition technology in 2014, and expanded its use through all Hawaiian counties in 2015.","County","Face Recognition","Idemia","https://finance.yahoo.com/news/honolulu-pd-facial-recognition-system-144000973.html","","Yahoo Finance","","01/30/2015","https://www.perpetuallineup.org/jurisdiction/hawaii","","Georgetown University","","2016","","","","","",""
"AOS2432","Wailuku","Maui County","HI","Maui County Police Department","Police","The Honolulu Police Department and the Hawaii Criminal Justice Data Center began using face recognition technology in 2014, and expanded its use through all Hawaiian counties in 2015.","County","Face Recognition","Idemia","https://finance.yahoo.com/news/honolulu-pd-facial-recognition-system-144000973.html","","Yahoo Finance","","01/31/2015","https://www.perpetuallineup.org/jurisdiction/hawaii","","Georgetown University","","2016","","","","","",""
"AOS2433","Honolulu","Honolulu County","HI","Hawaii Criminal Justice Data Center","Attorney General","The Honolulu Police Department and the Hawaii Criminal Justice Data Center began using face recognition technology in 2014, and expanded its use through all Hawaiian counties in 2015.","State","Face Recognition","Idemia","https://finance.yahoo.com/news/honolulu-pd-facial-recognition-system-144000973.html","","Yahoo Finance","","02/01/2015","https://www.perpetuallineup.org/jurisdiction/hawaii","","Georgetown University","","2016","","","","","",""
"AOS2434","Albuquerque","Bernalillo County","NM","Albuquerque Police Department","Police","The Albuquerque Police department has been using face recognition technology since 2013. ","Municipal","Face Recognition","Idemia","https://www.koat.com/article/facial-recognition-technology-used-by-apd/5067253#","","KOAT ","","10/19/2015","","","","","","","","","","",""
"AOS2435","Harrisburg","Dauphin County","PA","Pennsylvania Justice Network","State Police","Since 2006, the Pennsylvania Justice Network (JNET) has managed face recognition software across police departments in Pennsylvania. The JNET uses Cognitec, NEC, and MorphoTrust algorithms.","State","Face Recognition","Idemia","http://www.statewatch.org/news/2016/oct/usa-perpetual-lineup-face-recognition-database-report-10-16.pdf","","State Watch","","10/18/2016","","","","","","","","","","",""
"AOS2436","Tacoma","Pierce County","WA","Pierce County Police Department","Police","Since 2008, the Pierce County Police Department has been using face recognition software at a cost of $6,500 a year.","Municipal","Face Recognition","Idemia","https://www.seattlepi.com/local/article/Facial-recognition-software-gives-Pierce-County-1295609.php","","SeattlePi","","10/22/2008","https://www.douglascountyclerk.org/images/stories/Supplier_Payments/2018_Calendar_Year_Supplier_Payments.revd.pdf","","County Clerk","","2018","","","","","",""
"AOS2437","London","Madison County","OH","Ohio Bureau of Criminal Investigation","State Police","The Ohio Bureau of Criminal Investigation operates a massive face recognition system. Hundreds of local, state, and federal agencies were able to access the system until fall 2019, when the Ohio Attorney General cut off access. However, agencies may still make formal face recognition requests to BCI. The Attorney General is pursuing a $21.4 million upgrade through the vendor NEC in 2021. ","State","Face Recognition","NEC","https://www.cincinnati.com/story/news/politics/2019/08/14/ohio-cuts-off-access-facial-recognition-database-temporarily/2006517001/","","Cincinatti Enquirer","","08/14/2019","https://www.cleveland.com/open/2020/02/ohios-controverisal-facial-recognition-database-to-get-214-million-update-ag-dave-yost-says.html","","Cleveland.com","","2/20/2020","","","","","",""
"AOS2438","Lakewood","Jefferson County","CO","Colorado Bureau of Investigation","State Police","The Colorado Bureau of Investigation uses face recognition products from Morpho (a subsidiary of Idemia). ","State","Face Recognition","Idemia","https://www.thedenverchannel.com/news/local-news/facial-recognition-technology-facing-backlash","","Denver Channel","","05/14/2019","https://www.detroitnews.com/story/news/local/detroit-city/2017/10/30/detroit-police-facial-recognition-software/107166498/","","www.detroitnews.com","","","https://www.clickondetroit.com/2019/10/04/a-closer-look-at-facial-recognition-technology-2/","","www.clickondetroit.com","","",""
"AOS2439","Dover","Kent County","DE","Delaware State Police","Police","The Delaware State Police Department began using face recognition technology in 2016. ","State","Face Recognition","Idemia","https://dsp.delaware.gov/wp-content/uploads/sites/118/2019/08/Annual-Report-2018.pdf","","Government Site","","2018","","","","","","","","","","",""
"AOS2440","Lockport","Niagara County","NY","Lockport City School District","School District","The Lockport City School District spent $1.4 million to install the Aegis face recognition system on 300 cameras, which went live in January 2019. ","Municipal","Face Recognition","Aegis","https://www.nytimes.com/2020/02/06/business/facial-recognition-schools.html","","NY Times","","02/06/2020","","","","","","","","","","",""
"AOS2441","Coral Springs","Broward County","FL","Coral Springs Police Department","Police","The Coral Springs Police Department spent $5,000 on Clearview AI face recognition software between 2018 and 2020. ","Municipal","Face Recognition","Clearview AI","https://www.coralsprings.org/home/showdocument?id=1866","","Coral Springs Org","","","","","","","","","","","","",""
